,Truck Number,predicted_truck_volume,pallets
0,1,435,8
1,2,626,11
2,3,827,15
3,4,774,13
4,5,1150,18
5,6,718,12
6,7,478,8
7,8,1085,19
8,9,1616,25
9,10,805,11
10,11,419,7
11,12,315,8
12,13,294,8
13,14,220,6
14,15,117,3
