,Truck Number,predicted_truck_volume,pallets
0,1,592,11
1,2,1015,18
2,3,845,16
3,4,321,6
4,5,798,13
5,6,1106,18
6,7,329,6
7,8,909,16
8,9,924,14
9,10,671,10
10,11,752,12
11,12,208,5
12,13,135,3
13,14,133,4
14,15,212,5
