Date,Open,Volume,Percent growth,Trend,Monthly,0.004113
1/1/2006,10718.2998,6552210000,0.013420024,1,,
2/1/2006,10862.13965,5759090000,0.012070398,1,,
3/1/2006,10993.25,6680180000,0.010893048,1,,
4/1/2006,11113,5584020000,0.022926327,1,,
5/1/2006,11367.78027,7360590000,-0.017483624,-1,,
6/1/2006,11169.03027,6959660000,-0.001762949,-1,,
7/1/2006,11149.33984,5548680000,0.003180454,0,,
8/1/2006,11184.7998,4668650000,0.017698144,1,,
9/1/2006,11382.75,4494890000,0.026025366,1,,
10/1/2006,11678.99023,5665820000,0.034357402,1,,
11/1/2006,12080.25,4722850000,0.011648743,1,,
12/1/2006,12220.96973,4381310000,0.01952139,1,,
1/1/2007,12459.54004,5075440000,0.01265377,1,,
2/1/2007,12617.2002,4347420000,-0.027626598,-1,,
3/1/2007,12268.62988,5633180000,0.007000753,1,,
4/1/2007,12354.51953,4819810000,0.057325618,1,,
5/1/2007,13062.75,5039850000,0.043324754,1,,
6/1/2007,13628.69043,5227620000,-0.016075706,-1,,
7/1/2007,13409.59961,5512040000,-0.014803557,-1,,
8/1/2007,13211.08984,6199120000,0.011149709,1,,
9/1/2007,13358.38965,4328370000,0.040223435,1,,
10/1/2007,13895.70996,5010920000,0.002047409,0,,
11/1/2007,13924.16016,5980230000,-0.039926317,-1,,
12/1/2007,13368.21973,4310320000,-0.007959131,-1,,
1/1/2008,13261.82031,7459830000,-0.047026002,-1,,
2/1/2008,12638.16992,5720360000,-0.029577824,-1,,
3/1/2008,12264.36035,6229020000,0.000185847,0,,
4/1/2008,12266.63965,5050840000,0.044975658,1,,
5/1/2008,12818.33984,4530790000,-0.014094643,-1,,
6/1/2008,12637.66992,5309950000,-0.10231556,-1,,
7/1/2008,11344.63965,5551580000,0.003107194,0,,
8/1/2008,11379.88965,3578210000,0.014564309,1,,
9/1/2008,11545.62988,6302330000,-0.060475652,-1,,
10/1/2008,10847.40039,8311580000,-0.140251147,-1,,
11/1/2008,9326.040039,6262880000,-0.053522223,-1,,
12/1/2008,8826.889648,5701870000,-0.006190136,-1,,
