,Truck Number,predicted_truck_volume,pallets
0,1,486,9
1,2,677,12
2,3,812,15
3,4,172,3
4,5,699,11
5,6,757,13
6,7,178,3
7,8,593,11
8,9,1108,17
9,10,888,12
10,11,466,8
11,12,286,6
12,13,242,5
13,14,257,6
14,15,45,1
