,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
76,12500,8055,4445,3222,2416,1967,450,8055.0,5878,4103,782,921,620,125,570,422,74,923,640,132,10,7,1,3454,2414,450,1737,509.7806051323481,,360.0,853.9013187004401,1096.0438594929644,1289.771132220298,1330.680223129403,483.52796394328755,484.0630288783525,484.32428428960793,483.1976609129845,126,22,34,34,1,0
77,12500,7794,4706,3118,2338,1854,484,7794.0,5181,3848,908,796,592,142,1070,829,185,566,429,97,0,0,0,2749,1998,484,2563,545.5596822855289,,360.0,900.9806215539496,1143.5260760994183,1326.8897124631121,1370.8897124631271,505.6531836961874,506.0001533931571,505.9834867264904,0.0,121,42,31,22,0,0
78,12500,7909,4591,3164,2373,1919,453,7909.0,5392,4312,809,963,769,162,682,508,102,712,599,92,0,2,0,3035,2434,453,1987,523.9721615788067,,360.0,868.2311408856627,1113.8675045220211,1303.231140885717,1344.5038681584583,493.3721209115252,493.4918178812222,493.44116853057284,411.44636333576574,123,26,38,29,1,0
79,12500,8328,4172,3331,2498,1893,606,8328.0,4951,3602,1059,926,656,201,614,457,130,603,453,121,6,4,1,2802,2032,606,2888,532.9825968979048,,360.0,897.0782953862769,1153.9873862953843,1340.987386295443,1396.0782953863709,491.0367376646968,491.24149956945865,491.38370736166644,350.86011428806984,131,25,36,24,1,0
80,12500,8454,4046,3382,2536,2246,290,8454.0,3677,3649,610,826,838,140,426,422,87,594,616,93,2,2,0,1829,1771,290,4564,521.8800573737814,,360.0,883.0233484482912,1143.4682202431723,1362.4682202432418,1388.8318566068872,448.7869349819756,448.6172380122786,448.99754104258164,374.377844072883,133,19,37,27,1,0
81,12500,8995,3505,3598,2698,2204,495,8995.0,5972,3205,774,581,310,77,650,376,83,815,494,119,0,0,0,3926,2025,495,2549,454.2746856463378,,360.0,641.2735599016471,1057.9895272675842,1273.353163631289,1318.2622545403951,399.7516526486716,400.1843366313556,400.2700509170699,0.0,140,23,20,29,0,0
82,12500,9007,3493,3603,2702,2214,488,9007.0,3926,4184,810,865,942,206,366,395,63,300,302,53,0,1,0,2395,2544,488,3580,463.4813049799679,,360.0,650.7591399868325,1075.5896761173442,1291.8624033901401,1336.2260397537916,391.74110871408345,391.6911087140835,391.65604377901855,286.06513468810647,141,17,41,14,1,0
83,12500,8162,4338,3265,2449,1669,779,8162.0,5502,4636,1257,659,549,156,772,693,185,651,521,136,10,5,1,3410,2868,779,1105,490.252859901035,,360.0,660.1728034841419,1069.8398198011319,1236.4761834375472,1307.3852743466623,477.72872481130935,477.69539147797605,477.797772430357,343.109027841609,127,33,28,27,1,0
84,12500,7224,5276,2890,2167,1619,548,7224.0,5547,3257,1131,1382,776,300,751,425,140,859,489,143,9,2,0,2546,1565,548,2565,572.576886379586,,360.0,927.7878158166811,1154.6969067257976,1316.7878158167568,1366.6059976349557,533.0805946038354,533.029945253186,532.31933919258,392.48968551292273,113,27,50,30,1,0
85,12500,8588,3912,3435,2576,1859,718,8588.0,5959,2514,1253,1279,563,277,205,80,44,868,367,211,9,6,3,3598,1498,718,2774,455.08441924729925,,360.0,633.776802169192,1034.3109513533025,1218.220042262451,1283.4927695352005,397.5734972568021,399.3059647892697,398.92566175896667,388.8628911961958,134,7,43,29,1,0
