,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
14,12100,8419,3681,3368,2526,1879,646,8419.0,3817,4035,1048,750,790,181,14,18,2,825,871,217,4,7,2,2224,2349,646,3200,475.06619188804564,1109.8075748955748,360.0,650.6471542971384,1055.3821540985757,1293.6909453275034,1352.039082040813,397.25353719899806,419.5694630702897,419.38262473187615,375.9110206828057,130,1,35,39,1,0
15,12100,8060,4040,3224,2418,1881,537,8060.0,4674,4099,962,1012,947,211,686,595,170,183,180,41,6,6,3,2787,2371,537,2365,477.81512819100686,1099.438359817574,360.0,644.5392977566335,1039.3300521238282,1288.9625666646994,1337.8120562363408,443.5548008395942,444.377020024885,440.4285472311843,386.42758078705697,126,30,44,9,1,0
16,12100,8346,3754,3338,2504,2163,341,8346.0,3991,3185,647,1056,829,168,156,136,24,662,594,113,8,7,1,2109,1619,341,4277,498.11855088802946,1135.7156083837906,360.0,848.1042473322726,1098.0394119865136,1347.2151956981613,1379.103270640526,409.047077008505,413.5334223233052,413.82985015124416,410.3912387585163,131,7,42,28,1,0
17,12100,8685,3415,3474,2606,2131,474,8685.0,4504,2714,837,1031,581,178,476,274,99,436,238,85,12,4,1,2549,1617,474,4045,471.69281980375405,1115.9302982603454,360.0,651.274731033116,1066.5363455027311,1325.3050170384315,1368.7219299974747,392.84296537582344,392.52849184760555,392.1058979171439,369.5804281105881,136,17,36,16,1,0
18,12100,6495,5605,2598,1948,1446,503,,4687,3646,1223,1373,1082,352,709,550,194,642,504,173,17,8,1,1946,1502,503,2544,592.5844634119402,1272.4319926132648,360.0,936.7595140469282,1142.9406457898128,1403.6040165243614,,554.745442869622,554.4264588229197,555.099911267835,523.3422273313798,101,30,57,27,1,432
19,12100,7983,4117,3193,2395,1906,489,,4139,2473,1084,997,585,249,585,348,167,632,372,178,3,0,1,1922,1168,489,4404,542.5947765615855,1264.926498673938,360.0,907.2665522603241,1157.031634203796,,,470.6265204997791,471.45322098360145,471.1026823529904,278.6412943630227,125,22,37,24,1,832
20,12100,7831,4269,3132,2349,2025,325,,4520,2329,763,468,224,88,1119,559,179,967,485,170,7,2,1,1959,1059,325,4488,569.1760635254694,1264.3332700885494,360.0,945.0284270001466,1189.5420087842565,,,497.40579203888063,496.7028546518539,497.49228860130296,484.59408970344344,123,38,16,33,1,736
21,12100,7987,4113,3195,2396,1969,427,,3785,2493,1011,599,417,173,613,395,157,880,589,247,21,15,7,1672,1077,427,4811,530.8221705253427,1229.5523611830158,360.0,878.666850227965,1129.949582876068,,,455.11088570806737,454.3331569847096,455.26641836321534,440.6954321055624,125,24,24,35,1,434
22,12100,7280,4820,2912,2184,1824,360,7280.0,5451,3276,756,1031,611,147,794,483,104,920,580,145,4,1,0,2702,1601,360,2617,550.9609275439752,1171.7203953332023,360.0,887.2323409248048,1116.227024955418,1352.7726258624994,1385.7018071501225,506.30788034283165,506.18427032725583,506.6584230423961,416.1887810382948,114,28,36,33,1,0
23,12100,7529,4571,3012,2259,1781,477,7529.0,4028,4094,955,778,731,194,460,417,105,815,885,177,3,4,2,1972,2057,477,3023,523.2070142607981,1161.4739429008732,360.0,857.8511245427519,1091.6052528808168,1338.572422452286,1383.6445137809042,474.9166699585812,476.7816097715675,477.11356626996303,465.1239976303359,118,20,35,38,1,0
24,12100,8694,3406,3478,2608,1977,631,8694.0,4212,3443,977,646,489,112,158,168,31,860,722,200,14,3,3,2534,2061,631,3468,446.64717894399075,1073.8989627816024,360.0,629.9992048552351,1027.274382076116,1267.3342867199024,1326.0077816848761,380.0407886648732,380.5354159933103,380.0485100681163,363.65509507827676,136,8,25,36,1,0
