,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
15,8300,6159,2141,3080,2156,358,923,6159,3504,2856,821,466,372,112,91,57,15,506,393,129,0,0,0,2441,2034,565,1119,407.7848315,1019.222429,360,549.8669743,847.7241172,1054.524117,1110.924117,343.6649831,346.0953885,345.9203885,0,97,4,19,21,0,[],[],[],2
16,8300,4934,3366,2467,1727,592,740,4934,2620,2242,410,826,714,130,498,418,79,361,274,52,6,7,1,929,829,148,3028,491.9075587,1014.581004,360,594.7039873,914.1861302,1074.38613,1089.18613,308.7394506,309.4252615,308.7644506,301.8225588,77,20,34,14,1,[],[],[],1
17,8300,5238,3062,2619,1833,415,786,5238,3959,2114,671,662,326,103,599,312,104,558,285,91,11,9,2,2129,1182,371,1556,439.2439224,1030.748664,360,547.9546367,812.2653509,848.9796367,1073.68795,311.700944,311.575944,311.475944,307.6968899,83,21,22,19,1,[],[],[],1
18,8300,5889,2411,2944,2061,491,884,5889,2875,2349,666,493,387,119,138,115,26,509,476,125,8,12,3,1727,1359,393,2410,467.4439224,1024.015988,360,589.0117795,933.8082081,1073.808208,1113.208208,313.1098224,312.8348224,313.0098224,309.5325497,92,6,20,23,1,[],[],[],1
19,8300,4972,3328,2486,1740,382,746,4972,3820,2522,675,637,423,121,715,485,111,458,288,78,4,7,1,2006,1319,364,1283,412.5348315,1033.755775,360,531.0455457,780.0169743,801.4705457,1075.895061,365.9833416,366.188747,366.238747,362.7533661,78,27,24,17,1,[],[],[],2
20,8300,6348,1952,3174,2222,483,952,6348,3205,2481,684,615,490,136,0,0,0,365,252,78,8,7,1,2217,1732,469,1930,452.0757406,1030.90337,360,582.754312,934.9828834,1077.097169,1124.097169,0,337.7306273,337.7002219,324.5598656,99,0,25,14,1,[],[],[],1
21,8300,6389,1911,3194,2236,326,959,6389,3380,2344,900,157,104,44,299,218,65,500,355,156,6,5,2,2418,1662,633,1676,443.6961951,1026.605079,360,575.2640522,917.2890522,1059.889052,1123.089052,320.7890259,320.5586205,320.3586205,298.079075,100,12,7,21,1,[],[],[],2
22,8300,6912,1388,3456,2419,618,1037,6912,2009,2330,579,61,61,25,336,384,91,178,208,44,0,0,0,1434,1677,419,3382,504.1393769,1164.735711,360,871.3858055,1143.185805,1241.985805,1283.785805,334.0562685,333.9812685,334.2312685,0,108,17,3,9,0,[],[],[],2
23,8300,6285,2015,3142,2200,452,943,6285,2822,2772,735,0,0,0,223,249,67,638,658,177,1,2,0,1960,1863,491,1971,452.5257406,1026.551276,360,581.9507406,929.5185977,1071.718598,1120.718598,326.3446146,0,326.2696146,325.7392092,98,11,0,30,1,[],[],[],2
24,8300,5308,2992,2654,1858,407,796,5308,3413,2532,680,628,449,103,317,254,59,600,435,127,8,10,2,1860,1384,389,1675,443.6961951,1006.162053,360,553.8354808,826.4926237,865.1747665,1050.901338,338.1506692,338.0506692,338.1256692,324.4625856,83,13,24,24,1,[],[],[],1
25,8300,5120,3180,2560,1792,521,768,5120,2819,2289,593,415,302,94,922,773,194,235,179,56,4,4,2,1243,1031,247,2599,475.5984678,1009.994476,360,581.966325,895.5377535,1047.537754,1072.337754,312.1142221,311.9153277,311.0545169,294.7567896,80,38,17,10,1,[],[],[],1
26,8300,5663,2637,2832,1982,561,849,5663,2969,2648,511,451,410,88,242,238,32,574,494,103,2,3,0,1700,1503,288,2172,459.2893769,1010.483473,360,576.3965198,894.0250912,1053.025091,1081.825091,325.4562642,325.6758588,325.3258588,315.5918293,89,11,19,24,1,[],[],[],1
27,8300,5525,2775,2762,1934,630,829,5525,3176,2514,379,348,256,49,426,348,58,669,522,69,17,9,4,1716,1379,199,2231,462.6916496,1006.444601,360,577.1166496,890.2845068,1025.284507,1045.084507,332.2161361,332.0715415,332.1607307,316.4935931,86,17,14,26,1,[],[],[],2
28,8300,5112,3188,2556,1789,430,767,5112,3402,2713,650,378,324,70,480,410,91,730,538,152,8,7,0,1806,1434,337,1535,436.2166496,990.4733552,360,542.2952211,797.9845068,1025.180935,1058.780935,330.5191871,329.7333763,330.3387817,316.859482,80,20,16,29,1,[],[],[],2
29,8300,6045,2255,3022,2116,687,907,6045,2739,2502,344,476,420,54,266,233,24,369,339,42,18,10,4,1610,1500,220,2715,479.6757406,1024.096988,360,782.8971691,1008.268598,1092.868598,1114.868598,313.0584046,312.8962424,312.9212424,311.1746208,94,11,19,15,1,[],[],[],1
30,8300,5278,3022,2639,1847,598,792,5278,2651,1905,482,822,580,138,274,215,52,465,366,96,11,1,2,1079,743,194,3262,500.0621042,1021.914681,360,790.7156756,996.1406756,1081.940676,1101.340676,289.3275554,289.2775554,289.0442016,279.5728257,83,11,31,19,1,[],[],[],1
31,8300,5225,3075,2612,1829,514,784,5225,2868,2260,597,411,309,81,569,474,119,548,433,127,3,1,0,1337,1043,270,2575,474.9234678,1006.843085,360,583.4341821,896.8020393,1058.202039,1085.202039,309.7631664,309.8131664,309.7131664,309.7881664,83,24,17,23,1,[],[],[],1
32,8300,5423,2877,2712,1898,393,813,5423,2706,2028,854,443,342,147,492,397,155,434,331,131,2,2,1,1335,956,420,2712,479.6757406,1050.965459,360,591.9828834,925.0114548,1075.211455,1117.211455,306.0515119,305.7461065,305.8544603,269.7654554,85,21,19,18,1,[],[],[],1
33,8300,5024,3276,2512,1758,450,754,5024,3002,2046,700,379,273,78,847,558,192,462,352,125,3,6,1,1311,857,304,2552,474.9234678,1020.793487,360,579.3484678,879.0591821,1024.859182,1056.932773,307.7798546,307.7298546,307.6548546,302.0291789,79,32,15,19,1,[],[],[],2
34,8300,5192,3108,2596,1817,460,779,5192,3067,1993,662,539,344,102,636,406,135,504,332,106,2,2,0,1386,909,319,2578,474.9234678,1022.142176,360,582.7198964,892.8020393,1045.602039,1077.602039,314.5145121,314.3145121,314.4895121,303.4548069,80,24,20,19,1,[],[],[],1
35,8300,6227,2073,3114,2179,473,934,6227,2589,2096,759,466,410,149,115,70,25,392,322,124,0,0,0,1616,1294,461,2856,483.7530133,1061.517483,360,795.1458704,1034.174442,1109.374442,1155.374442,312.6927939,312.7177939,312.5927939,0,97,5,21,17,0,[],[],[],2
36,8300,5847,2453,2924,2046,454,877,5847,3078,2523,712,514,405,124,224,151,50,463,403,115,3,1,0,1874,1563,423,1987,455.5530133,1038.308637,360,576.4065847,900.0851561,945.4851561,1086.447922,310.6226992,311.4868884,311.7868884,296.9204265,91,9,21,20,1,[],[],[],1
37,8300,5950,2350,2975,2082,560,893,5950,3405,3015,523,506,453,91,217,196,35,421,356,63,7,4,1,2254,2006,333,1357,416.4643769,1025.048681,360,554.2858055,859.4036626,1081.203663,1114.603663,334.6037923,334.6591977,334.1200085,299.3523795,93,9,21,17,1,[],[],[],1
38,8300,5159,3141,2580,1806,513,773,5159,2683,2243,580,749,602,136,502,405,114,297,266,70,0,0,0,1135,970,260,2794,483.0780133,959.0890511,360,590.1851561,912.3565847,1040.556585,1066.556585,317.8578538,318.0078538,317.9578538,0,80,21,30,13,0,[],[],[],2
39,8300,6128,2172,3064,2145,585,919,6128,3506,1946,536,368,184,58,427,252,75,482,249,69,6,2,0,2223,1259,334,2312,467.1848315,1025.235293,360,593.5526886,953.9455457,1084.345546,1117.745546,328.226817,328.176817,328.551817,268.1117283,96,16,13,16,1,[],[],[],2
40,8300,5311,2989,2656,1859,414,796,5311,3302,2307,716,776,535,172,467,348,93,306,223,69,0,0,0,1753,1201,382,1975,452.5257406,1011.141545,360,562.6650263,847.7471691,1014.147169,1055.08083,308.0524837,308.2024837,308.1578891,0,83,19,30,12,0,[],[],[],2
41,8300,5943,2357,2972,2080,319,891,5943,2734,3276,915,294,367,103,269,309,100,329,430,136,5,11,4,1837,2159,572,1375,416.5393769,1048.668957,360,554.3358055,859.2786626,1081.078663,1138.278663,346.0460507,346.6014561,346.5764561,341.9156453,92,14,16,18,1,[],[],[],2
42,8300,5158,3142,2579,1805,504,774,5158,2805,2410,566,392,334,101,692,561,106,468,386,88,8,5,1,1245,1124,270,2519,471.5211951,1010.110221,360,578.628338,882.3997665,1016.599767,1043.599767,307.7981071,307.4177017,307.7731071,287.6528368,80,28,17,19,1,[],[],[],2
43,8300,5213,3087,2606,1825,464,782,5213,2663,2111,750,265,199,66,308,235,102,908,728,264,6,6,0,1176,943,318,2776,483.0780133,1018.623224,360,591.2744419,916.2137276,1065.413728,1097.213728,296.1917681,296.2667681,296.4721736,296.2363627,83,13,11,38,1,[],[],[],2
44,8300,5150,3150,2575,1802,398,773,5150,2883,2923,702,377,408,88,218,207,51,834,769,187,4,6,1,1450,1533,375,1792,447.7734678,1022.988496,360,554.8556107,823.6520393,862.0806107,1066.327782,320.5571693,320.5071693,320.6071693,283.1305723,80,10,18,36,1,[],[],[],1
45,8300,5690,2610,2845,1991,366,854,5690,3203,2181,848,511,369,132,444,317,143,363,242,83,1,3,2,1884,1250,488,2068,455.2121042,1022.061573,360,573.0085328,886.6906756,1059.090676,1107.890676,321.3548385,321.6656493,321.4298385,316.445379,89,19,21,14,1,[],[],[],2
46,8300,6008,2292,3004,2103,288,901,6008,3133,2395,922,503,399,131,204,142,60,391,342,118,1,1,0,2034,1511,613,1850,448.4484678,1046.346306,360,572.3591821,897.1270393,1075.927039,1137.127039,309.6919753,309.6669753,309.6419753,285.8374298,94,9,21,18,1,[],[],[],2
47,8300,5243,3057,2622,1835,486,786,5243,2909,2937,550,585,603,103,581,520,114,264,251,32,1,2,1,1478,1561,300,1904,451.8507406,1009.680987,360,560.5864548,839.8150263,1036.415026,1066.415026,354.2239031,354.9293085,354.6543085,329.8946034,83,25,26,11,1,[],[],[],1
48,8300,5471,2829,2736,1915,404,820,5471,3045,2467,759,531,464,145,319,208,63,534,426,135,3,1,0,1658,1368,416,2029,454.5371042,1014.986399,360,567.7585328,866.3299613,1029.729961,1071.329961,318.1564753,318.5010699,318.3260699,305.6231215,86,12,23,22,1,[],[],[],1
49,8300,4966,3334,2483,1738,363,745,4966,2601,2410,938,466,439,175,499,433,185,472,463,196,1,5,0,1163,1070,382,2351,466.7689224,1026.687418,360,569.9903509,854.3903509,1042.590351,1080.790351,309.7438197,309.7688197,309.8188197,307.7667927,78,23,22,23,1,[],[],[],2
50,8300,5503,2797,2752,1926,426,825,5503,3143,2587,698,1003,825,218,151,121,28,206,189,50,3,0,3,1780,1452,399,1872,451.1757406,1006.325088,360,565.0864548,860.6257406,1025.025741,1065.025741,325.1822669,325.3322669,325.4876723,133.3724263,86,6,41,9,1,[],[],[],1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pallet,456.6688315,1022.2449,,588.0816886,881.2586886,1020.804689,1090.208259,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluid,376.0048315,1017.591983,,505.1749029,603.3288315,704.7235457,1060.867268,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Improvement,80.664,4.652917766,,82.90678571,277.9298571,316.0811429,29.34099037,,,,,,,,,,,,,
