timestamp,Sorted
2024-08-02 00:54:42.958410,4
2024-08-02 00:54:53.867501,8
2024-08-02 00:55:04.776591,9
2024-08-02 00:55:10.650717,12
2024-08-02 00:55:15.685682,13
2024-08-02 00:55:21.559808,16
2024-08-02 00:55:26.594773,17
2024-08-02 00:55:32.468899,18
2024-08-02 00:55:38.343025,21
2024-08-02 00:55:43.377990,22
2024-08-02 00:55:49.252116,25
2024-08-02 00:55:54.287081,26
2024-08-02 00:56:00.161207,27
2024-08-02 00:56:06.035333,30
2024-08-02 00:56:11.070298,31
2024-08-02 00:56:16.944424,34
2024-08-02 00:56:21.979389,35
2024-08-02 00:56:27.853514,36
2024-08-02 00:56:33.727640,39
2024-08-02 00:56:38.762605,40
2024-08-02 00:56:44.636731,43
2024-08-02 00:56:49.671696,44
2024-08-02 00:56:55.545822,45
2024-08-02 00:57:01.419948,48
2024-08-02 00:57:06.454913,49
2024-08-02 00:57:12.329039,52
2024-08-02 00:57:17.364004,53
2024-08-02 00:57:23.238130,54
2024-08-02 00:57:29.112256,57
2024-08-02 00:57:34.147221,58
2024-08-02 00:57:40.021347,61
2024-08-02 00:57:45.056312,62
2024-08-02 00:57:50.930438,63
2024-08-02 00:57:56.804563,66
2024-08-02 00:58:01.839528,67
2024-08-02 00:58:07.713654,70
2024-08-02 00:58:12.748619,71
2024-08-02 00:58:18.622745,72
2024-08-02 00:58:24.496871,75
2024-08-02 00:58:29.531836,76
2024-08-02 00:58:35.405962,79
2024-08-02 00:58:40.440927,80
2024-08-02 00:58:46.315053,81
2024-08-02 00:58:52.189179,84
2024-08-02 00:58:57.224144,85
2024-08-02 00:59:03.098270,88
2024-08-02 00:59:08.133235,89
2024-08-02 00:59:14.007361,90
2024-08-02 00:59:19.881487,93
2024-08-02 00:59:24.916452,94
2024-08-02 00:59:30.790577,97
2024-08-02 00:59:35.825542,98
2024-08-02 00:59:41.699668,99
2024-08-02 00:59:47.573794,102
2024-08-02 00:59:52.608759,103
2024-08-02 00:59:58.482885,106
2024-08-02 01:00:03.517850,107
2024-08-02 01:00:09.391976,108
2024-08-02 01:00:15.266102,111
2024-08-02 01:00:20.301067,112
2024-08-02 01:00:26.175193,115
2024-08-02 01:00:31.210158,116
2024-08-02 01:00:37.084284,117
2024-08-02 01:00:42.958410,120
2024-08-02 01:00:47.993375,121
2024-08-02 01:00:53.867501,124
2024-08-02 01:00:58.902466,125
2024-08-02 01:01:04.776591,126
2024-08-02 01:01:10.650717,129
