,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
30,8300,4732,3568,2366,1656,570,710,4732,2174,2463,483,549,600,124,497,534,110,477,557,108,5,6,1,646,766,140,3180,382.8491172,1014.691921,360,496.5598315,562.2741172,584.93126,1034.431207,322.0366656,322.217071,322.167071,303.2681095,74,23,26,23,1,[],[],[],2
31,8300,6389,1911,3194,2236,493,958,6389,2932,2914,653,481,431,94,115,98,21,290,300,70,4,5,2,2042,2080,466,1801,373.0634029,998.980674,360,519.63126,788.0026886,826.5991172,1051.31996,325.8014419,325.9014419,325.9960365,324.2210365,100,5,21,14,1,[],[],[],2
32,8300,5027,3273,2514,1759,229,754,5027,3300,2420,1015,461,326,136,553,389,178,601,450,175,1,2,1,1684,1253,525,1565,371.3491172,1040.687807,360,490.7991172,560.7741172,569.8598315,1099.027093,331.9482497,331.9732497,331.6178443,306.8081391,79,23,19,25,1,[],[],[],1
33,8300,5666,2634,2833,1983,334,850,5666,3185,2446,864,609,450,180,466,376,110,210,174,58,1,0,0,1899,1446,516,1805,373.0634029,1062.256243,360,505.3455457,583.9169743,597.2884029,1119.595529,310.0589588,309.8285534,309.9339588,72.4907147,89,20,25,9,1,[],[],[],2
34,8300,5335,2965,2668,1867,588,800,5335,2337,3122,447,381,522,67,436,557,90,348,471,74,4,11,4,1168,1561,212,2394,377.2776886,1010.861048,360,502.93126,576.9276886,780.2991172,1037.800334,352.7028292,352.8778292,352.7778292,349.9899914,84,22,20,18,1,[],[],[],2
35,8300,5638,2662,2819,1973,572,846,5638,2558,2829,517,344,414,65,515,548,116,269,317,60,4,8,2,1426,1542,274,2396,377.2776886,1025.839173,360,508.8705457,587.2169743,790.8134029,1058.978458,321.0698017,320.9698017,320.8643963,311.8675289,89,24,17,13,1,[],[],[],2
36,8300,5468,2832,2734,1914,454,820,5468,3678,2408,638,514,340,86,532,317,83,500,340,102,8,9,1,2124,1402,366,1576,371.4205457,1003.929685,360,499.6169743,575.6455457,593.7026886,1046.268971,338.0898776,337.9094722,337.7756884,334.7716344,86,19,19,19,1,[],[],[],2
37,8300,5140,3160,2570,1799,405,771,5140,3452,2438,687,460,311,71,536,406,120,659,457,128,5,5,2,1792,1259,366,1723,372.4919743,1025.932741,360,494.2598315,565.6884029,581.7169743,1068.272027,309.2833629,309.2333629,309.2083629,308.5563359,80,22,17,25,1,[],[],[],2
38,8300,4584,3716,2292,1604,445,688,4584,2757,2776,614,209,217,52,972,971,208,472,498,111,3,3,0,1101,1087,243,2153,375.5634029,1032.984354,360,486.2419743,549.9884029,567.6455457,1063.12364,333.552408,333.2970026,333.527408,323.7726783,72,44,10,22,1,[],[],[],1
39,8300,5744,2556,2872,2010,664,862,5744,2701,2214,434,196,158,44,399,334,61,650,565,128,11,7,3,1445,1150,198,2951,381.2776886,1009.340945,360,514.9884029,594.7884029,813.0705457,1034.88023,299.5131127,299.3881127,299.5381127,294.5493535,90,16,8,27,1,[],[],[],2
40,8300,5637,2663,2818,1973,521,846,5637,3115,2444,552,0,0,0,552,395,81,794,684,146,7,4,0,1762,1361,325,2189,375.7776886,1021.796278,360,507.3455457,585.7169743,784.4884029,1060.135564,326.7599713,0,326.8849713,324.4025389,89,21,0,33,1,[],[],[],1
