,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD,PACKAGES_PER_HOUR_TOTAL,PACKAGES_PER_HOUR_END
10,8300,6476,1824,3238.0,2267.0,247.0,971.0,6476.0,1557,5811,932,148,540,91,74,242,42,122,487,75,0,3,0,1213,4539,724,398.51945359090604,1024.1176902308705,546.7158821623333,846.9408821623399,871.7408821623455,1102.2569759451728,398.29002753563776,398.5900275356375,398.4454329410434,372.34002753566136,100.0,8.0,16.0,14.0,1.0,[],[],[],2.0,18.043478260869566,21.506201398457883
11,8300,5497,2803,2748.0,1924.0,115.0,825.0,,1407,5810,1083,209,800,141,150,682,137,115,474,95,0,0,0,933,3854,710,355.39944004277095,1021.7465860969858,487.7637257570566,791.538725757059,1032.4858718112728,,355.5700139875023,355.4700139875024,355.19501398750265,0.0,86.0,20.0,23.0,14.0,0.0,[],[],"[<Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F290>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4D6D0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4E630>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F4A0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F560>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F620>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F6E0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F7A0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F860>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B86C4F920>]",710.0,,
12,8300,5486,2814,2743.0,1920.0,99.0,823.0,5486.0,1384,5810,1106,203,850,160,138,568,117,121,549,104,0,3,1,922,3840,724,401.776591083671,1015.4885107346698,530.487305369385,784.5980196550943,791.7408767979509,1093.627796448972,401.39716502840287,402.0079758392139,401.62757043380844,377.79716502842433,86.0,17.0,25.0,16.0,1.0,[],[],[],2.0,18.043478260869566,21.635199929284834
13,8300,5291,3009,,,,,,1364,5811,1125,123,568,92,160,671,150,216,858,160,1,7,3,864,3707,720,,,,,,,,,,,,,,,,,,,,,
14,8300,6071,2229,,,,,,1389,5810,1101,106,459,81,116,553,94,122,584,103,1,10,0,1044,4204,823,,,,,,,,,,,,,,,,,,,,,
15,8300,5069,3231,,,,,,1356,5811,1133,186,690,129,139,704,131,199,871,175,1,5,1,831,3541,697,,,,,,,,,,,,,,,,,,,,,
16,8300,5927,2373,2964.0,2074.0,92.0,889.0,,1367,5810,1123,116,550,111,133,545,117,145,541,93,1,16,5,972,4158,797,436.1641451978567,1005.7503810274362,558.4712880549971,854.4427166264318,1014.2896667417225,,436.28471914258813,436.3097191425881,436.0847191425883,414.6686959765713,92.0,16.0,16.0,16.0,1.0,[],[],"[<Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B826B8E90>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B826BAE10>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EFB30>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EC4D0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855ED190>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EE9F0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EC3E0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EDE50>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EE960>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855ED400>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EF7D0>, <Dual_sim_SC_fluid_inbound.TLMD_Pallet object at 0x0000022B855EE990>]",797.0,,
17,8300,5422,2878,2711.0,1898.0,141.0,813.0,5422.0,1464,5810,1026,242,923,164,117,545,90,138,554,100,1,4,0,966,3784,672,381.63280980263863,1032.435681787949,508.93995265978265,584.4292383740635,589.8292383740632,1105.3749675022502,381.8891945581815,382.219599963587,382.0945999635871,358.32838374739134,85.0,16.0,27.0,16.0,1.0,[],[],[],2.0,18.043478260869566,21.459967730690796
18,8300,5020,3280,,,,,,1418,5810,1072,202,811,142,162,775,156,186,721,125,0,0,0,868,3503,649,,,,,,,,,,0.0,,,,,0.0,,,,,,
19,8300,5733,2567,2866.0,2007.0,116.0,860.0,5733.0,1387,5811,1102,97,475,97,184,704,141,148,590,119,3,8,1,955,4034,744,411.51585119122433,1032.7112249104546,545.0265654769372,820.7408511912164,830.02656547693,1112.8505106247574,411.5864251359558,411.31142513595603,411.8114251359556,400.71142513596567,90.0,21.0,14.0,18.0,1.0,[],[],[],2.0,18.043478260869566,21.349925642692593
